Name,Description,Brain_MD_12,Brain_MD_61,Brain_MD_15,Brain_MD_57,Brain_MD_33,Brain_MD_64,Brain_MD_17,Brain_MD_62,Brain_MD_63,Brain_MD_32,Brain_MGlio_1,Brain_MGlio_2,Brain_MGlio_3,Brain_MGlio_4,Brain_MGlio_5,Brain_MGlio_6,Brain_MGlio_7,Brain_MGlio_8,Brain_MGlio_9,Brain_MGlio_10,Brain_Rhab_1,Brain_Rhab_2,Brain_Rhab_3,Brain_Rhab_4,Brain_Rhab_5,Brain_Rhab_6,Brain_Rhab_7,Brain_Rhab_8,Brain_Rhab_9,Brain_Rhab_10,Brain_Ncer_1,Brain_Ncer_2,Brain_Ncer_3,Brain_Ncer_4
AFFX-BioB-M_st,AFFX-BioB-M_st (endogenous control),10.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,129.000000 ,0.000000 ,557.000000 ,748.000000 ,0.000000 ,41.000000 ,354.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,817.000000 ,0.000000 ,177.000000 ,0.000000 ,136.000000 ,0.000000 ,0.000000 ,96.000000 ,63.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-BioB-3_st,AFFX-BioB-3_st (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-BioC-5_st,AFFX-BioC-5_st (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,47.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-BioC-3_st,AFFX-BioC-3_st (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-BioDn-5_st,AFFX-BioDn-5_st (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,61.000000 ,0.000000 ,0.000000 ,0.000000 ,97.000000 ,365.000000 ,409.000000 ,86.000000 ,389.000000 ,1097.000000 ,0.000000 ,441.000000 ,307.000000 ,233.000000 ,14.000000 ,0.000000 ,170.000000 ,147.000000 ,703.000000 ,444.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,175.000000 ,0.000000 ,0.000000 ,291.000000 ,578.000000 
AFFX-BioDn-3_st,AFFX-BioDn-3_st (endogenous control),121.060294 ,332.318387 ,37.001760 ,72.904086 ,0.000000 ,19.827343 ,0.000000 ,240.491805 ,25.548397 ,135.776122 ,701.668648 ,1026.999996 ,624.972869 ,767.771539 ,688.996642 ,0.000000 ,259.780161 ,187.999998 ,343.233536 ,661.999950 ,26.835718 ,204.311902 ,112.224399 ,294.608004 ,219.749250 ,38.000000 ,235.763957 ,170.580203 ,42.435109 ,330.000000 ,640.299001 ,0.000000 ,939.154181 ,1295.687645 
AFFX-CreX-5_st,AFFX-CreX-5_st (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,283.000000 ,0.000000 ,68.000000 ,0.000000 ,0.000000 ,30.000000 ,45.000000 ,16.000000 ,0.000000 ,0.000000 ,0.000000 ,58.000000 ,0.000000 ,26.000000 ,0.000000 ,192.000000 ,0.000000 ,67.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,10.000000 ,0.000000 ,0.000000 ,15.000000 ,60.000000 ,442.000000 ,0.000000 ,489.000000 
AFFX-CreX-3_st,AFFX-CreX-3_st (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,41.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
hum_alu_at,hum_alu_at (miscellaneous control),8921.710429 ,30928.805525 ,25955.699316 ,12054.387386 ,30970.439083 ,10211.638059 ,11447.379887 ,25375.387028 ,28326.847667 ,4253.664023 ,37428.280874 ,107370.999779 ,85097.317161 ,117562.597325 ,37548.436591 ,53967.650037 ,36180.059979 ,38932.999899 ,99139.419748 ,92849.996907 ,12098.643454 ,8096.889239 ,7350.055971 ,15477.356530 ,13759.965147 ,35571.000000 ,19629.004214 ,34030.682881 ,21456.860976 ,48647.000000 ,106739.856784 ,123239.000000 ,46390.939659 ,44231.448479 
AFFX-DapX-5_at,AFFX-DapX-5_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,78.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1085.000000 ,22.000000 ,0.000000 
AFFX-DapX-M_at,AFFX-DapX-M_at (endogenous control),0.000000 ,494.945181 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,48.458631 ,34.899856 ,0.000000 ,215.697861 ,255.999995 ,0.000000 ,138.454193 ,0.000000 ,0.000000 ,196.304136 ,0.000000 ,679.934830 ,501.999932 ,0.000000 ,26.832900 ,0.000000 ,123.702628 ,0.000000 ,0.000000 ,144.549414 ,0.000000 ,0.000000 ,0.000000 ,152.581611 ,176.000000 ,364.767992 ,0.000000 
AFFX-DapX-3_at,AFFX-DapX-3_at (endogenous control),0.000000 ,127.000000 ,1.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,20.000000 ,0.000000 ,0.000000 ,103.000000 ,0.000000 ,0.000000 ,19.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,115.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-LysX-5_at,AFFX-LysX-5_at (endogenous control),0.000000 ,80.000000 ,69.000000 ,19.000000 ,0.000000 ,53.000000 ,0.000000 ,0.000000 ,10.000000 ,31.000000 ,126.000000 ,180.000000 ,346.000000 ,23.000000 ,0.000000 ,0.000000 ,0.000000 ,76.000000 ,54.000000 ,159.000000 ,0.000000 ,10.000000 ,33.000000 ,12.000000 ,0.000000 ,45.000000 ,57.000000 ,0.000000 ,11.000000 ,60.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-LysX-M_at,AFFX-LysX-M_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,66.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-LysX-3_at,AFFX-LysX-3_at (endogenous control),0.000000 ,0.000000 ,42.853170 ,0.000000 ,0.000000 ,199.248114 ,0.000000 ,0.000000 ,0.000000 ,25.770588 ,52.297165 ,261.999999 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,77.122145 ,0.000000 ,18.745791 ,182.999984 ,87.350184 ,19.386842 ,64.281619 ,164.750171 ,0.000000 ,45.000000 ,0.000000 ,51.376031 ,0.000000 ,0.000000 ,93.456746 ,0.000000 ,229.739108 ,0.000000 
AFFX-PheX-5_at,AFFX-PheX-5_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,200.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-PheX-M_at,AFFX-PheX-M_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-PheX-3_at,AFFX-PheX-3_at (endogenous control),121.000000 ,349.000000 ,123.000000 ,47.000000 ,495.000000 ,260.000000 ,0.000000 ,0.000000 ,3.000000 ,0.000000 ,54.000000 ,415.000000 ,0.000000 ,118.000000 ,0.000000 ,0.000000 ,38.000000 ,190.000000 ,271.000000 ,648.000000 ,102.000000 ,36.000000 ,90.000000 ,0.000000 ,56.000000 ,0.000000 ,0.000000 ,101.000000 ,0.000000 ,150.000000 ,455.000000 ,659.000000 ,333.000000 ,581.000000 
AFFX-ThrX-5_at,AFFX-ThrX-5_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,25.686944 ,0.000000 ,0.000000 ,0.000000 ,5.539308 ,125.000000 ,104.999730 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,70.000000 ,0.000000 ,43.824120 ,7.664155 ,84.866838 ,0.000000 ,0.000000 ,22.858445 ,2.886448 ,0.000000 ,0.000000 ,95.948970 ,72.000000 ,0.000000 ,0.000000 
AFFX-ThrX-M_at,AFFX-ThrX-M_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,3.707117 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,2.968426 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-ThrX-3_at,AFFX-ThrX-3_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-TrpnX-5_at,AFFX-TrpnX-5_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,90.443792 ,0.000000 ,0.000000 ,79.729162 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,143.137320 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,45.640962 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,508.537864 ,128.000000 ,0.000000 ,0.000000 
AFFX-TrpnX-M_at,AFFX-TrpnX-M_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-TrpnX-3_at,AFFX-TrpnX-3_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_5_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,136.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MA_at (endogenous control),0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,15.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,207.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,749.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1103.000000 ,258.000000 ,0.000000 ,349.000000 ,365.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_MB_at (endogenous control),1.905004 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,151.694016 ,0.000000 ,370.096868 ,21.522808 ,0.000000 ,233.848977 ,681.999993 ,538.948379 ,168.134641 ,518.356911 ,3472.774401 ,1159.750272 ,452.999997 ,375.534231 ,229.999905 ,1622.166848 ,282.346246 ,0.000000 ,1778.520102 ,3601.373110 ,0.000000 ,660.914200 ,502.272449 ,352.314741 ,0.000000 ,0.000000 ,0.000000 ,525.525578 ,54.087356 
AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMISGF3A/M97935_3_at (endogenous control),0.000000 ,0.000000 ,217.983819 ,0.000000 ,305.816639 ,651.112263 ,0.000000 ,979.148797 ,322.269037 ,0.000000 ,253.564300 ,2184.999977 ,1553.824066 ,985.882456 ,1718.195212 ,5734.452780 ,2256.760439 ,1503.999989 ,1953.165323 ,835.999677 ,3986.647666 ,1081.301512 ,1328.982083 ,3950.159588 ,5550.168490 ,1250.000000 ,2421.686365 ,2039.948313 ,2321.398961 ,165.000000 ,6.581770 ,1551.000000 ,1005.991724 ,1535.583025 
AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_5_at (endogenous control),0.000000 ,16269.536322 ,1241.762516 ,3964.341922 ,0.000000 ,6945.158072 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1206.999961 ,980.700624 ,0.000000 ,566.482983 ,0.000000 ,288.162831 ,201.999982 ,282.137007 ,1926.999450 ,0.000000 ,113.824518 ,0.000000 ,0.000000 ,0.000000 ,114.000000 ,0.000000 ,126.990722 ,0.000000 ,0.000000 ,0.000000 ,1551.000000 ,0.000000 ,891.313401 
AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_M_at (endogenous control),218.000000 ,12506.000000 ,1649.000000 ,3502.000000 ,483.000000 ,7912.000000 ,194.000000 ,0.000000 ,385.000000 ,0.000000 ,0.000000 ,956.000000 ,486.000000 ,53.000000 ,406.000000 ,0.000000 ,186.000000 ,283.000000 ,10.000000 ,1706.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,109.000000 ,0.000000 ,80.000000 ,0.000000 ,0.000000 ,38.000000 ,0.000000 
AFFX-HUMRGE/M10098_3_at,AFFX-HUMRGE/M10098_3_at (endogenous control),707.000000 ,7860.000000 ,3999.000000 ,7609.000000 ,1015.000000 ,4809.000000 ,831.000000 ,0.000000 ,1245.000000 ,0.000000 ,272.000000 ,3594.000000 ,2483.000000 ,236.000000 ,1231.000000 ,0.000000 ,758.000000 ,1781.000000 ,2702.000000 ,7068.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,74.000000 ,89.000000 ,526.000000 ,0.000000 ,988.000000 ,1381.000000 ,765.000000 
AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_5_at (endogenous control),10649.337805 ,2155.958830 ,8144.069831 ,6231.582376 ,10043.220429 ,7250.773708 ,5920.741251 ,0.000000 ,15654.096546 ,6600.837933 ,19101.466772 ,46260.999495 ,29031.156420 ,27515.110856 ,30963.213643 ,30414.709253 ,41879.875874 ,39885.999769 ,39657.151896 ,22662.992936 ,19953.134757 ,22006.214773 ,11302.177914 ,22109.822241 ,22907.841539 ,12733.000000 ,22551.250302 ,35945.213869 ,19446.314534 ,1734.000000 ,26018.863019 ,2234.000000 ,15201.279035 ,18283.094839 
AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_M_at (endogenous control),8527.586480 ,6731.882279 ,10356.416414 ,9076.803458 ,9160.703112 ,2619.493258 ,2510.712742 ,0.000000 ,18162.472719 ,464.183473 ,18971.980764 ,47101.999625 ,22129.147549 ,30501.153083 ,25355.765280 ,32644.056254 ,29950.274438 ,28727.999829 ,35121.907591 ,17032.994757 ,12628.545573 ,14688.372324 ,10299.022255 ,15826.040439 ,14172.083786 ,16806.000000 ,14706.302073 ,30543.386384 ,18847.072919 ,2065.000000 ,43777.188234 ,2194.000000 ,16055.607714 ,20465.219864 
AFFX-HUMGAPDH/M33197_3_at,AFFX-HUMGAPDH/M33197_3_at (endogenous control),10336.815144 ,20324.365053 ,18308.065569 ,13909.050063 ,19621.228312 ,8541.025210 ,9998.713152 ,4645.255099 ,23120.226508 ,8971.736904 ,31240.491299 ,79421.999645 ,49451.294248 ,61988.198496 ,36266.480503 ,42277.671557 ,40999.346295 ,37175.999838 ,63379.736079 ,44664.995027 ,16161.152772 ,16402.010691 ,17881.644678 ,18506.450070 ,17926.171310 ,32862.000000 ,18297.275409 ,25555.132467 ,24717.754979 ,11271.000000 ,63157.706492 ,45699.000000 ,39675.817804 ,42001.757282 
AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_5_at (endogenous control),7946.064958 ,15316.096682 ,9156.134972 ,10101.254874 ,11875.109687 ,942.719901 ,3167.387070 ,0.000000 ,0.000000 ,0.000000 ,18633.303353 ,50707.999458 ,37247.870553 ,17982.504766 ,32376.669341 ,42193.368193 ,32584.123350 ,36576.999752 ,42033.085745 ,23452.992410 ,12628.731646 ,15205.846755 ,10446.306308 ,15064.719461 ,12810.008865 ,9164.000000 ,16665.254348 ,17363.890869 ,12695.217240 ,1810.000000 ,10710.160132 ,2427.000000 ,8180.577038 ,13378.049292 
AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_M_at (endogenous control),9558.261575 ,20541.900970 ,6837.802372 ,11429.272677 ,11676.430432 ,0.000000 ,3944.180395 ,0.000000 ,659.943828 ,535.398329 ,20157.593390 ,69079.999359 ,56010.116475 ,26719.327940 ,41831.467159 ,57739.312839 ,38958.491370 ,42519.999707 ,58654.249959 ,34323.991024 ,13471.665143 ,18193.232789 ,16087.564497 ,13104.509157 ,14795.963334 ,19395.000000 ,21604.585036 ,28771.494850 ,22253.342996 ,1148.000000 ,37273.360519 ,932.000000 ,12853.078929 ,15197.813420 
AFFX-HSAC07/X00351_3_at,AFFX-HSAC07/X00351_3_at (endogenous control),12401.525426 ,26393.486049 ,16964.236259 ,15779.679117 ,21013.517019 ,7878.627756 ,8767.143341 ,20709.024756 ,20028.888902 ,8820.641932 ,24557.424919 ,69314.999674 ,64345.518492 ,42501.416235 ,35676.219765 ,56544.337583 ,34337.344584 ,34616.999851 ,65504.940405 ,50228.995439 ,16338.705540 ,17145.204726 ,17627.803658 ,17211.136361 ,17917.280836 ,37497.000000 ,19489.937838 ,30686.518323 ,24477.484293 ,43728.000000 ,60595.336636 ,52902.000000 ,31191.510377 ,34751.194687 
